trial,timestamp,trigger_time_s,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-23T10:25:43.274,0.109122,1.398837,1 GO,1,0,0,0,HIT,1,
2,2026-05-23T10:25:46.253,3.101711,0.707490,2 noGo,0,0,1,0,CR,10,
3,2026-05-23T10:25:49.193,6.101623,1.242740,1 GO,1,0,0,0,HIT,1,
4,2026-05-23T10:25:52.243,9.101663,1.580858,2 noGo,0,0,0,1,FA,10,
5,2026-05-23T10:25:55.245,12.100677,0.775137,1 GO,0,1,0,0,MISS,1,
6,2026-05-23T10:25:58.227,15.100555,0.684667,1 GO,0,1,0,0,MISS,1,
7,2026-05-23T10:26:01.262,18.100995,1.503625,2 noGo,0,0,0,1,FA,10,
8,2026-05-23T10:26:04.186,21.100836,0.928023,1 GO,0,1,0,0,MISS,1,
9,2026-05-23T10:26:07.238,24.100556,1.393277,2 noGo,0,0,0,1,FA,10,
10,2026-05-23T10:26:10.245,27.101761,0.961140,1 GO,0,1,0,0,MISS,1,
11,2026-05-23T10:26:13.252,30.100780,0.758865,1 GO,0,1,0,0,MISS,1,
12,2026-05-23T10:26:16.201,33.100757,0.855558,1 GO,0,1,0,0,MISS,1,
13,2026-05-23T10:26:19.257,36.100990,1.557596,1 GO,1,0,0,0,HIT,1,
14,2026-05-23T10:26:22.210,39.101058,0.635744,2 noGo,0,0,1,0,CR,10,
15,2026-05-23T10:26:25.245,42.101001,1.169154,1 GO,1,0,0,0,HIT,1,
16,2026-05-23T10:26:28.226,45.100990,0.634478,2 noGo,0,0,1,0,CR,10,
17,2026-05-23T10:26:31.266,48.103966,0.712784,1 GO,0,1,0,0,MISS,1,
18,2026-05-23T10:26:34.249,51.100552,1.348723,1 GO,1,0,0,0,HIT,1,
19,2026-05-23T10:26:37.187,54.101167,1.317924,2 noGo,0,0,0,1,FA,10,
20,2026-05-23T10:26:40.235,57.100779,1.432115,1 GO,1,0,0,0,HIT,1,
21,2026-05-23T10:26:43.208,60.100890,0.045000,2 noGo,0,0,1,0,CR,10,
