trial,timestamp,sound_id,trigger_time_s,task_type,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-21T14:47:22.499,16,2.882022,ClassicGoNoGo,75.0,1.0,1.0,2.1940131509818555,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block1
2,2026-05-21T14:47:29.410,16,9.814854,ClassicGoNoGo,75.0,1.0,1.0,2.0490016104046753,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block2
3,2026-05-21T14:47:35.002,1,15.419276,ClassicGoNoGo,75.0,1.0,1.0,2.756415856889724,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block3
4,2026-05-21T14:47:39.692,1,20.116278,ClassicGoNoGo,75.0,1.0,1.0,4.5852295401296805,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block4
5,2026-05-21T14:47:47.794,16,28.177187,ClassicGoNoGo,75.0,1.0,1.0,4.693551569683654,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block5
6,2026-05-21T14:47:53.194,1,33.601922,ClassicGoNoGo,75.0,1.0,1.0,3.071040582764296,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block6
7,2026-05-21T14:48:00.597,16,40.967378,ClassicGoNoGo,75.0,1.0,1.0,2.988245841696628,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block7
8,2026-05-21T14:48:05.513,1,45.910560,ClassicGoNoGo,75.0,1.0,1.0,4.880829271493319,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block8
9,2026-05-21T14:48:11.913,1,52.343808,ClassicGoNoGo,75.0,1.0,1.0,3.449438171968848,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block9
10,2026-05-21T14:48:19.893,16,60.270949,ClassicGoNoGo,75.0,1.0,1.0,2.8064113264105846,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block10
11,2026-05-21T14:48:26.206,16,66.611340,ClassicGoNoGo,75.0,1.0,1.0,4.897992250027493,0,3,0.0,0.5,1.5,1.0,0.0,40.0,,1,5,,,1,1,block11
